v0,N,dpsi_deg,vstar
250,26,12,293.1
250,26,14,293.1
250,26,16,293.1
250,26,18,293.1
250,26,20,293.1
250,26,22,293.1
250,26,24,293.1
250,26,26,293.1
250,26,28,293.1
250,26,30,293.1
250,26,32,291.5
250,26,34,293.1
250,26,36,293.1
250,26,38,293.1
250,26,40,293.1
250,26,42,293.1
250,26,44,293.1
250,26,46,291.5
250,26,48,293.1
250,26,50,293.1
250,26,52,293.1
250,26,54,293.1
250,26,56,291.5
250,26,58,291.5
250,26,60,293.1
250,26,62,293.1
250,26,64,290.5
250,26,66,293.1
250,26,68,291.5
250,26,70,291.5
250,26,72,293.1
250,26,74,291.5
250,26,76,293.1
250,26,78,293.1
250,26,80,293.1
250,26,82,291.5
250,26,84,291.5
250,26,86,293.1
250,26,88,293.1
250,26,90,290.7
250,26,92,291.5
250,26,94,289.9
250,26,96,291.5
250,26,98,291.5
250,26,100,290.0
250,26,102,290.5
250,26,104,290.0
250,26,106,291.5
250,26,108,290.7
250,26,110,290.6
250,26,112,293.1
250,26,114,290.3
250,26,116,289.0
250,26,118,290.7
250,26,120,288.7
250,26,122,290.6
250,26,124,290.0
250,26,126,287.1
250,26,128,287.1
250,26,130,290.7
250,26,132,288.7
250,26,134,289.8
250,26,136,290.0
250,26,138,290.1
250,26,140,288.3
250,26,142,288.5
250,26,144,289.8
250,26,146,289.8
250,26,148,290.0
250,26,150,290.1
250,26,152,286.0
250,26,154,288.5
250,26,156,287.4
250,26,158,287.6
250,26,160,290.0
250,26,162,283.8
250,26,164,286.0
250,26,166,286.2
250,26,168,288.7
250,26,170,287.6
250,26,172,284.6
250,26,174,290.3
250,26,176,287.9
250,26,178,286.7
250,26,180,285.3
250,28,0,296.1
250,28,2,296.1
250,28,4,296.1
250,28,6,294.6
250,28,8,296.1
250,28,10,296.1
250,28,12,296.1
250,28,14,296.1
250,28,16,296.1
250,28,18,294.6
250,28,20,296.1
250,28,22,296.1
250,28,24,296.1
250,28,26,296.1
250,28,28,296.1
250,28,30,296.1
